City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,maracacume,-2.0428,-45.9592,22.41,99,23,1.29,BR,1674438747
320,bombay,19.0144,72.8479,20.99,49,5,1.54,IN,1674438539
321,arawa,-6.2132,155.5367,30.71,61,100,2.43,PG,1674438748
322,kaeo,-35.1,173.7833,21.52,69,100,1.78,NZ,1674438748
323,zyryanka,65.75,150.85,-35.61,97,100,4.81,RU,1674438749
324,port shepstone,-30.7414,30.455,24.15,71,100,1.97,ZA,1674438749
325,shakiso,5.75,38.9167,12.31,69,96,1.83,ET,1674438749
326,siocon,7.7061,122.1353,26.9,77,100,3.63,PH,1674438750
327,port blair,11.6667,92.75,23.02,88,40,0.0,IN,1674438535
328,lexington,37.9887,-84.4777,3.0,88,100,3.6,US,1674438751
329,smolenka,52.1352,113.4974,-31.7,51,33,3.0,RU,1674438751
330,armidale,-30.5167,151.65,24.66,45,55,4.38,AU,1674438751
331,mana,5.6592,-53.7767,24.43,87,100,5.65,GF,1674438752
332,bowen,-20.0167,148.2333,27.89,64,9,6.05,AU,1674438752
333,christchurch,-43.5333,172.6333,19.12,67,100,3.09,NZ,1674438196
334,gat,31.61,34.7642,16.33,82,48,0.53,IL,1674438752
335,karakol,42.4907,78.3936,-11.11,55,0,3.38,KG,1674438753
336,zhigansk,66.7697,123.3711,-37.39,94,100,2.28,RU,1674438753
337,qui nhon,13.7667,109.2333,23.18,84,96,2.81,VN,1674438362
338,kologriv,58.8275,44.3178,-21.02,100,100,0.49,RU,1674438754
339,piacabucu,-10.4056,-36.4344,26.09,83,85,5.41,BR,1674438754
340,broome,42.2506,-75.833,0.95,90,100,3.09,US,1674438754
341,kyra,49.5776,111.9753,-31.05,77,100,2.27,RU,1674438754
342,aktash,50.3,87.7333,-26.31,73,88,2.3,RU,1674438755
343,atar,20.5169,-13.0499,18.0,17,0,4.6,MR,1674438529
344,shenkursk,62.1091,42.896,-17.24,100,100,1.87,RU,1674438755
345,vilyuysk,63.7553,121.6247,-30.27,95,100,2.59,RU,1674438755
346,nanortalik,60.1432,-45.2371,-5.64,61,100,2.13,GL,1674438756
347,arandis,-22.4167,14.9667,19.05,77,100,2.59,NA,1674438605
348,carutapera,-1.195,-46.02,24.06,93,32,2.97,BR,1674438756
349,norsup,-16.0667,167.3833,29.34,71,100,0.77,VU,1674438757
350,clyde river,70.4692,-68.5914,-31.87,68,100,11.32,CA,1674438757
351,port talbot,51.5924,-3.7802,5.66,87,100,2.51,GB,1674438757
352,coahuayana,18.7333,-103.6833,22.28,85,40,0.57,MX,1674438758
353,fukue,32.6881,128.8419,11.2,71,75,7.72,JP,1674438758
354,muhos,64.808,25.9931,-9.12,83,15,4.52,FI,1674438758
355,goroka,-6.0834,145.3873,19.59,89,100,1.14,PG,1674438758
356,kadoshkino,54.0257,44.4191,-11.33,92,100,2.59,RU,1674438758
357,byron bay,-28.65,153.6167,27.75,57,26,3.84,AU,1674438551
358,barabash,43.2,131.4833,-14.77,57,34,3.19,RU,1674438759
359,yulara,-25.2406,130.9889,34.05,13,0,5.68,AU,1674438759
360,strezhevoy,60.7333,77.5889,-11.84,96,100,2.77,RU,1674438760
361,nome,64.5011,-165.4064,-18.96,55,0,0.0,US,1674438760
362,alpena,45.0617,-83.4327,-0.5,96,100,0.89,US,1674438760
363,khatanga,71.9667,102.5,-41.79,97,19,1.49,RU,1674438761
364,sur,22.5667,59.5289,18.78,46,0,5.33,OM,1674438761
365,tecoanapa,16.5167,-98.75,24.79,77,0,2.72,MX,1674438762
